苹果,梨
牛奶,豆浆
包子,饺子
洗发水,沐浴露
眉毛,睫毛
作家,编剧
蜘蛛侠,蝙蝠侠
牙刷,梳子
饼干,面包
枕头,被子
玫瑰,月季
保温杯,茶杯
辣椒,胡椒
班主任,班长
蝴蝶,蜜蜂
小说,散文
酸奶,牛奶
西瓜,冬瓜
橡皮,涂改液
眼镜,墨镜
电梯,楼梯
医生,护士
拖鞋,凉鞋
火车,地铁
白糖,盐
弟弟,表弟
富二代,官二代
美人鱼,人鱼公主
端午节,中秋节
红玫瑰,白玫瑰
董事长,总经理
生抽,老抽
烤鸭,烧鸡
洗衣机,甩干机
苦瓜,丝瓜
葡萄,提子
汉堡,三明治
鸭子,鹅
同学,同事
胖子,瘦子
手机,座机
作业,考试
老师,教授
蒸蛋,煎蛋
面条,米粉
公交车,出租车
白开水,矿泉水
台灯,吊灯
毛巾,浴巾
钢笔,铅笔
足球,篮球
咖啡,奶茶
春节,国庆节
菠萝,凤梨
土豆,红薯
唱歌,跳舞
微信,QQ
手表,闹钟
洗面奶,卸妆水
生日,忌日
购物,逛街
左手,右手
太阳,月亮
头发,假发
鼠标,键盘
空调,风扇
花生,瓜子
雨伞,太阳伞
电影,电视剧
新闻,广告
姐姐,妹妹
男朋友,老公
可乐,雪碧
围巾,丝巾
高跟鞋,平底鞋
猫,老虎
警察,保安
牙膏,漱口水
地板,天花板
长裤,短裤
炒饭,煮饭
筷子,勺子
游泳,潜水
闹钟,手表
蛋糕,面包
钻石,水晶
动物园,植物园
打火机,火柴
饺子,馄饨
风筝,气球
洗手液,肥皂
皮带,领带
草莓,樱桃
胡萝卜,萝卜
门,窗户
钥匙,锁
雨,雪
山,海
黑板,白板
老鼠,仓鼠
